Date,Time,Name,Buy/Sell,Order,Exchange,Segment,Quantity/Lot,Trade Price,Trade Value,Status
13/05/26,12:09:22,Thermax,BUY,INTRADAY,NSE,Equity,10,4599.5,45995,Traded
13/05/26,10:54:16,Texmaco Rail & Engineering,SELL,INTRADAY,NSE,Equity,783,116.53,91242.99,Traded
13/05/26,10:03:42,Thermax,BUY,INTRADAY,NSE,Equity,21,4510,94710,Traded
13/05/26,9:39:44,Texmaco Rail & Engineering,BUY,INTRADAY,NSE,Equity,783,118.33,92652.39,Traded
13/05/26,9:39:19,Kross,SELL,INTRADAY,NSE,Equity,723,225,162675.22,Traded
13/05/26,9:37:44,Texmaco Rail & Engineering,SELL,INTRADAY,NSE,Equity,1927,118.01,227405.27,Traded
13/05/26,9:33:52,Texmaco Rail & Engineering,BUY,INTRADAY,NSE,Equity,1542,119.43,184162.76,Traded
13/05/26,9:31:44,Texmaco Rail & Engineering,BUY,INTRADAY,NSE,Equity,385,119.14,45868.28,Traded
13/05/26,9:23:30,Foseco,BUY,INTRADAY,NSE,Equity,40,5313.51,212540.3,Traded
13/05/26,9:20:30,Kross,BUY,INTRADAY,NSE,Equity,723,226.97,164095.77,Traded
13/05/26,9:19:20,Foseco,SELL,INTRADAY,NSE,Equity,48,5223.06,250707,Traded
13/05/26,9:17:40,Foseco,BUY,INTRADAY,NSE,Equity,48,5308.3,254798.6,Traded
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,